player_id,player_name,player_hand,player_ht,player_age,ace,df,svpt,1stIn,1stWon,2ndWon,SvGms,bpSaved,bpFaced,rank,opponent_rank,surface,tourney_level,best_of,target,month
104545,John Isner,R,206,38,20,5,81,55,40,13,12,2,2,106,55,Hard,M,3,0,8
104545,John Isner,R,206,37,44,1,118,89,72,21,18,2,2,39,97,Hard,A,3,0,2
104545,John Isner,R,206,37,21,2,128,90,67,19,20,5,9,43,45,Hard,G,5,0,1
104545,John Isner,R,206,38,20,4,81,56,42,13,14,1,3,126,345,Grass,A,3,1,7
104545,John Isner,R,206,37,31,2,102,71,57,17,16,7,8,39,43,Hard,A,3,1,2
104545,John Isner,R,206,38,48,5,162,111,96,26,29,3,4,157,89,Hard,G,5,0,8
104545,John Isner,R,206,37,14,7,77,50,39,12,10,5,6,39,48,Hard,M,3,0,3
104545,John Isner,R,206,38,38,11,181,108,85,34,28,7,10,90,80,Clay,G,5,0,5
104545,John Isner,R,206,37,9,3,79,50,40,15,14,1,3,38,5,Hard,A,3,0,2
104545,John Isner,R,206,38,21,2,98,71,54,21,17,1,1,103,88,Hard,A,3,0,7
104545,John Isner,R,206,38,7,3,61,38,25,8,9,4,7,114,5,Hard,A,3,0,7
104545,John Isner,R,206,38,7,3,51,37,33,8,10,1,1,126,73,Grass,A,3,1,7
104545,John Isner,R,206,37,23,1,71,49,44,15,12,4,4,39,102,Hard,A,3,1,2
104545,John Isner,R,206,38,19,2,64,45,34,11,10,6,7,114,110,Hard,A,3,1,7
104545,John Isner,R,206,38,20,3,114,73,48,25,16,6,8,126,14,Grass,A,3,1,7
104545,John Isner,R,206,37,7,3,57,32,28,16,11,0,1,46,123,Clay,A,3,0,4
104545,John Isner,R,206,38,17,6,107,62,46,19,19,4,9,103,109,Grass,G,5,0,7
104545,John Isner,R,206,37,22,0,71,56,47,10,12,1,1,39,108,Hard,A,3,1,2
104545,John Isner,R,206,37,28,2,109,73,53,21,16,2,3,42,88,Hard,A,3,0,1
104545,John Isner,R,206,37,15,1,71,47,44,14,12,3,3,46,182,Hard,M,3,0,3
104545,John Isner,R,206,38,11,0,83,53,42,25,16,0,0,157,94,Hard,G,5,1,8
104545,John Isner,R,206,37,18,0,55,44,40,8,11,0,0,39,99,Hard,A,3,1,2
104665,Pablo Andujar,R,180,36,1,2,47,34,17,4,8,3,7,121,59,Hard,A,3,0,1
104665,Pablo Andujar,R,180,37,0,7,29,14,6,6,5,1,4,153,114,Clay,A,3,0,2
104665,Pablo Andujar,R,180,37,1,4,63,42,23,12,10,4,8,211,187,Hard,A,3,0,2
104665,Pablo Andujar,R,180,37,0,5,64,43,21,8,10,4,10,323,59,Clay,A,3,0,4
